,,,,,
t,x,y,θ,ω,α
"0,033","41,11","27,11","0,583",,
"0,067","44,16","21,75","0,458","-3,927",
"0,1","46,57","15,49","0,321","-3,999","-0,214"
"0,133","48,04","9,292","0,191","-3,891","2,091"
"0,167","48,76","3,015","6,17E-02","-3,872","0,149"
"0,2","48,64","-3,264","-6,70E-02","-3,878","-1,2"
"0,233","47,72","-9,513","-0,197","-3,949","-1,87"
"0,267","45,96","-15,75","-0,33","-4,015","-0,603"
"0,3","43,35","-21,72","-0,464","-3,989","1,61"
"0,333","40,04","-27,17","-0,596","-3,903","2,207"
"0,367","36,16","-32,01","-0,725","-3,836","1,346"
"0,4","31,77","-36,3","-0,852","-3,816","0,508"
"0,433","26,87","-39,97","-0,979","-3,805","-4,83E-02"
"0,467","21,57","-42,97","-1,105","-3,814","8,33E-02"
"0,5","15,89","-45,26","-1,233","-3,809","-0,204"
"0,533","10,06","-46,87","-1,359","-3,814","0,395"
"0,567","3,984","-47,68","-1,487","-3,801","0,177"
"0,6","-2,003","-47,77","-1,613","-3,783","0,578"
"0,633","-8,023","-47,08","-1,74","-3,779","0,173"
"0,667","-13,84","-45,75","-1,865","-3,759","0,385"
"0,7","-19,47","-43,68","-1,99","-3,761","0,287"
"0,733","-24,76","-40,9","-2,115","-3,739","0,8"
"0,767","-29,71","-37,61","-2,239","-3,706","0,498"
"0,8","-34,18","-33,76","-2,362","-3,701","1,102"
"0,833","-38,16","-29,34","-2,486","-3,648","1,929"
"0,867","-41,44","-24,62","-2,605","-3,556","2,115"
"0,9","-44,11","-19,62","-2,723","-3,512","0,418"
"0,933","-46,13","-14,37","-2,84","-3,522","-0,85"
"0,967","-47,51","-8,827","-2,958","-3,576","-1,619"
1,"-48,28","-3,08","-3,078","-3,629","-1,02"
"1,033","-48,39","2,819","-3,2","-3,649","-0,612"
"1,067","-47,78","8,673","-3,321","-3,661","0,531"
"1,1","-46,44","14,48","-3,444","-3,628","1,274"
"1,133","-44,47","19,93","-3,563","-3,561","1,618"
"1,167","-41,93","25,11","-3,681","-3,526","0,907"
"1,2","-38,74","29,84","-3,798","-3,498","0,299"
"1,233","-35,11","34,23","-3,914","-3,504","-0,551"
"1,266","-30,93","38,18","-4,032","-3,538","-1,202"
"1,3","-26,26","41,67","-4,15","-3,584","-0,97"
"1,333","-21,1","44,58","-4,27","-3,607","-0,334"
"1,366","-15,62","46,86","-4,391","-3,601","3,29E-02"
"1,4","-9,919","48,46","-4,511","-3,604","0,44"
"1,433","-4,039","49,4","-4,631","-3,579","0,349"
"1,466","1,821","49,63","-4,749","-3,569","7,42E-02"
"1,5","7,743","49,14","-4,869","-3,585","6,91E-02"
"1,533","13,54","47,88","-4,988","-3,562","3,77E-02"
"1,566","19,08","45,92","-5,106","-3,573","-0,568"
"1,6","24,43","43,29","-5,226","-3,609","-1,095"
"1,633","29,42","39,98","-5,347","-3,641","-1,076"
"1,666","34,03","36,05","-5,469","-3,685","-0,98"
"1,7","38,11","31,51","-5,592","-3,708","-0,524"
"1,733","41,64","26,52","-5,716","-3,717","0,272"
"1,766","44,45","21,09","-5,84","-3,694","0,765"
"1,8","46,57","15,48","-5,962","-3,659","1,287"
"1,833","47,97","9,683","-6,084","-3,615","0,732"
"1,866","48,67","3,895","-6,203","-3,599","-0,493"
"1,9","48,69","-1,982","-6,324","-3,653","-1,874"
"1,933","47,97","-7,92","-6,447","-3,726","-1,446"
"1,966","46,51","-13,83","-6,572","-3,756","-0,101"
2,"44,31","-19,47","-6,697","-3,728","1,488"
"2,033","41,48","-24,73","-6,821","-3,659","1,781"
"2,066","38,16","-29,49","-6,941","-3,6","1,284"
"2,1","34,27","-33,74","-7,061","-3,579","0,401"
